Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_Bin,Health_GDP_Impact,CO2_per_Energy,Dependency_Ratio
0.04,41.0,6.413458957167357,26.0,6.5638555265321274,20.375650888450245,0.045,2.0794415416798357,239.0,0.058,0.0,0.12,58.0,54.0,0.5,1,0.47,0.512,0.018,15.186526039196,0.176,17.399029524198163,19.93800336967164,Low,0.916904289980261,0.8479087066999806,0.953125
0.044,41.0,8.671115273688494,26.0,10.136304168546024,22.81406573902753,0.043,1.791759469228055,239.0,0.09,0.0,0.109,53.0,51.0,0.0,1,0.466,0.503,0.031,18.005531899451572,0.147,19.138520541980732,18.197537205138154,Lower-Middle,0.9810048267781837,0.7786349171549802,0.9880715705765407
0.034,41.0,6.959398512133975,26.0,7.288927694521257,22.34618556077376,0.029,4.77912349311153,239.0,0.056,0.0,0.22,61.0,59.0,0.1,1,0.406,0.535,0.059,14.018882329506514,0.801,18.410630418199872,19.024996716270177,Lower-Middle,0.648039381262439,0.8396017879048383,0.8691588785046729
0.045,41.0,5.62040086571715,26.0,9.57073837671504,20.478533244072793,0.045,3.4011973816621555,239.0,0.063,0.0,0.22649999999999998,56.0,54.0,0.0,1,0.459,0.514,0.027,14.021600723352588,0.479,20.350025877585416,19.93800336967164,Low,0.9215339959832757,0.5316942549725409,0.9455252918287939
0.035,41.0,8.746716349694486,26.0,8.953769294549454,22.32926766379409,0.048,2.6390573296152584,239.0,0.065,0.0,0.12,58.0,56.0,0.0,1,0.414,0.556,0.03,16.75069819087825,0.439,19.693246342545034,18.903106899369497,Lower-Middle,1.0718048478621165,0.8787340846330511,0.7985611510791365
0.042,41.0,7.155396301896734,26.0,9.57073837671504,21.820330585458375,0.056,2.995732273553991,239.0,0.103,0.0,0.194,51.0,51.0,0.0,1,0.44,0.525,0.034,15.984121760446046,0.31,15.86963441986494,16.380459992348886,Low,1.221938512785669,0.676906006647413,0.9028571428571428
0.042,41.0,4.997212273764115,26.0,9.57073837671504,19.70676510548298,0.049,2.833213344056216,239.0,0.1075,0.0,0.12,53.0,50.0,0.5,1,0.435,0.534,0.031,14.05713272320076,0.367,20.350025877585416,19.93800336967164,Low,0.965631490168666,0.4727401337234729,0.8726591760299625
0.039,41.0,9.251386341412184,26.0,9.550804629866933,23.26528901366934,0.047,2.995732273553991,239.0,0.069,0.0,0.223,54.0,52.0,0.0,1,0.442,0.531,0.028,17.258650937587475,0.199,20.030118658386467,18.86536657162407,Lower-Middle,1.093468583642459,0.8768417827796383,0.8851224105461394
0.031,41.0,9.051344640485725,26.0,9.57073837671504,20.463459122059028,0.069,3.4011973816621555,239.0,0.081,0.0,0.171,48.0,47.0,0.0,1,0.412,0.543,0.045,14.434055952156633,0.195,16.705882371415992,19.088510121656228,Low,1.411978679422073,0.8562641811686308,0.8416206261510127
0.043,41.0,6.07993319509559,26.0,9.57073837671504,20.0866211902953,0.059,2.4849066497880004,239.0,0.1075,0.0,0.205,53.0,52.0,0.0,1,0.432,0.537,0.031,14.877448142977892,0.443,20.350025877585416,19.93800336967164,Low,1.1851106502274227,0.5751663676104515,0.8621973929236498
